step,block_size,lr,train_loss,train_ema,gn
122,128,8.200000e-04,3.9431,4.0015,0.865
123,128,8.266667e-04,3.9364,3.9983,0.867
124,128,8.333333e-04,3.9273,3.9947,0.857
125,128,8.400000e-04,3.9329,3.9916,0.870
126,128,8.466667e-04,3.9253,3.9883,0.860
127,128,8.533333e-04,3.8863,3.9832,0.831
128,128,8.600000e-04,3.8941,3.9788,0.839
129,128,8.666667e-04,3.8969,3.9747,0.839
130,128,8.733333e-04,3.8859,3.9702,0.829
131,128,8.800000e-04,3.8917,3.9663,0.835
132,128,8.866667e-04,3.8921,3.9626,0.835
133,128,8.933333e-04,3.8848,3.9587,0.832
134,128,9.000000e-04,3.8847,3.9550,0.832
135,128,9.066667e-04,3.8916,3.9518,0.834
136,128,9.133333e-04,3.8697,3.9477,0.812
137,128,9.200000e-04,3.8539,3.9430,0.805
138,128,9.266667e-04,3.8504,3.9384,0.800
139,128,9.333333e-04,3.8584,3.9344,0.801
140,128,9.400000e-04,3.8611,3.9307,0.800
141,128,9.466667e-04,3.8340,3.9259,0.783
142,128,9.533333e-04,3.8586,3.9225,0.801
143,128,9.600000e-04,3.8443,3.9186,0.788
144,128,9.666667e-04,3.8569,3.9155,0.796
145,128,9.733333e-04,3.8519,3.9124,0.796
146,128,9.800000e-04,3.8360,3.9085,0.772
147,128,9.866667e-04,3.8358,3.9049,0.785
148,128,9.933333e-04,3.8454,3.9019,0.784
149,128,1.000000e-03,3.8389,3.8988,0.780
150,128,1.006667e-03,3.8442,3.8960,0.778
151,128,1.013333e-03,3.8463,3.8936,0.782
152,128,1.020000e-03,3.8408,3.8909,0.780
153,128,1.026667e-03,3.8330,3.8880,0.770
154,128,1.033333e-03,3.8390,3.8856,0.773
155,128,1.040000e-03,3.8374,3.8832,0.767
156,128,1.046667e-03,3.8295,3.8805,0.769
157,128,1.053333e-03,3.8147,3.8772,0.751
158,128,1.060000e-03,3.8281,3.8747,0.761
159,128,1.066667e-03,3.8061,3.8713,0.749
160,128,1.073333e-03,3.8175,3.8686,0.751
161,128,1.080000e-03,3.8201,3.8662,0.745
162,128,1.086667e-03,3.7859,3.8622,0.724
163,128,1.093333e-03,3.7961,3.8589,0.730
164,128,1.100000e-03,3.7686,3.8544,0.713
165,128,1.106667e-03,3.7852,3.8509,0.726
166,128,1.113333e-03,3.7865,3.8477,0.727
167,128,1.120000e-03,3.7715,3.8439,0.714
168,128,1.126667e-03,3.7715,3.8403,0.712
169,128,1.133333e-03,3.7845,3.8375,0.729
170,128,1.140000e-03,3.7640,3.8338,0.712
171,128,1.146667e-03,3.7520,3.8297,0.698
172,128,1.153333e-03,3.7437,3.8254,0.694
173,128,1.160000e-03,3.7398,3.8211,0.691
174,128,1.166667e-03,3.7447,3.8173,0.695
175,128,1.173333e-03,3.7529,3.8141,0.698
176,128,1.180000e-03,3.7617,3.8115,0.707
177,128,1.186667e-03,3.7484,3.8083,0.694
178,128,1.193333e-03,3.7624,3.8060,0.705
179,128,1.200000e-03,3.7301,3.8022,0.678
180,128,1.206667e-03,3.7395,3.7991,0.675
181,128,1.213333e-03,3.7352,3.7959,0.676
182,128,1.220000e-03,3.7427,3.7932,0.679
183,128,1.226667e-03,3.7122,3.7892,0.657
184,128,1.233333e-03,3.7243,3.7859,0.660
185,128,1.240000e-03,3.7192,3.7826,0.655
186,128,1.246667e-03,3.6984,3.7784,0.648
187,128,1.253333e-03,3.6989,3.7744,0.642
188,128,1.260000e-03,3.6933,3.7703,0.641
189,128,1.266667e-03,3.7069,3.7672,0.649
190,128,1.273333e-03,3.6973,3.7637,0.642
191,128,1.280000e-03,3.6908,3.7600,0.633
192,128,1.286667e-03,3.6733,3.7557,0.625
193,128,1.293333e-03,3.6777,3.7518,0.634
194,128,1.300000e-03,3.6481,3.7466,0.604
195,128,1.306667e-03,3.6712,3.7428,0.620
196,128,1.313333e-03,3.6506,3.7382,0.604
197,128,1.320000e-03,3.6455,3.7336,0.604
198,128,1.326667e-03,3.6403,3.7289,0.594
199,128,1.333333e-03,3.6521,3.7251,0.604
200,128,1.340000e-03,3.6412,3.7209,0.604
201,128,1.346667e-03,3.6630,3.7180,0.614
202,128,1.353333e-03,3.6375,3.7140,0.606
203,128,1.360000e-03,3.6114,3.7089,0.590
204,128,1.366667e-03,3.5902,3.7029,0.580
205,128,1.373333e-03,3.5808,3.6968,0.580
206,128,1.380000e-03,3.5707,3.6905,0.577
207,128,1.386667e-03,3.5600,3.6840,0.573
208,128,1.393333e-03,3.5611,3.6778,0.575
209,128,1.400000e-03,3.5331,3.6706,0.560
210,128,1.406667e-03,3.5462,3.6644,0.565
211,128,1.413333e-03,3.5592,3.6591,0.580
212,128,1.420000e-03,3.5419,3.6533,0.572
213,128,1.426667e-03,3.5320,3.6472,0.565
214,128,1.433333e-03,3.5365,3.6417,0.567
215,128,1.440000e-03,3.5198,3.6356,0.558
216,128,1.446667e-03,3.5143,3.6295,0.559
217,128,1.453333e-03,3.5040,3.6232,0.542
218,128,1.460000e-03,3.5004,3.6171,0.541
219,128,1.466667e-03,3.5096,3.6117,0.542
220,128,1.473333e-03,3.4924,3.6057,0.525
221,128,1.480000e-03,3.4931,3.6001,0.519
222,128,1.486667e-03,3.4876,3.5945,0.515
223,128,1.493333e-03,3.4904,3.5893,0.519
224,128,1.500000e-03,3.4945,3.5845,0.519
225,128,1.506667e-03,3.4952,3.5801,0.520
226,128,1.513333e-03,3.4857,3.5754,0.506
227,128,1.520000e-03,3.4960,3.5714,0.510
228,128,1.526667e-03,3.4872,3.5672,0.504
229,128,1.533333e-03,3.4963,3.5636,0.513
230,128,1.540000e-03,3.4755,3.5592,0.497
231,128,1.546667e-03,3.4903,3.5558,0.505
232,128,1.553333e-03,3.4739,3.5517,0.490
233,128,1.560000e-03,3.4604,3.5471,0.494
234,128,1.566667e-03,3.4428,3.5419,0.484
235,128,1.573333e-03,3.4477,3.5372,0.492
236,128,1.580000e-03,3.4372,3.5322,0.492
237,128,1.586667e-03,3.4346,3.5273,0.490
238,128,1.593333e-03,3.4400,3.5229,0.492
239,128,1.600000e-03,3.4364,3.5186,0.491
240,128,1.606667e-03,3.4160,3.5135,0.486
